case_id,filename,condition,severity,snr_db,tdoa_ms_ground_truth,sampling_rate_hz,duration_s
41,case_0041_normal_none_snr20db_tdoa2.00ms.csv,normal,none,20,2.0,8000,2.0
42,case_0042_normal_none_snr20db_tdoa2.00ms.csv,normal,none,20,2.0,8000,2.0
43,case_0043_normal_none_snr20db_tdoa2.00ms.csv,normal,none,20,2.0,8000,2.0
44,case_0044_normal_none_snr20db_tdoa2.00ms.csv,normal,none,20,2.0,8000,2.0
45,case_0045_normal_none_snr20db_tdoa2.00ms.csv,normal,none,20,2.0,8000,2.0
46,case_0046_leak_small_snr5db_tdoa0.75ms.csv,leak,small,5,0.75,8000,2.0
47,case_0047_leak_small_snr5db_tdoa0.75ms.csv,leak,small,5,0.75,8000,2.0
48,case_0048_leak_small_snr5db_tdoa0.75ms.csv,leak,small,5,0.75,8000,2.0
49,case_0049_leak_small_snr5db_tdoa0.75ms.csv,leak,small,5,0.75,8000,2.0
50,case_0050_leak_small_snr5db_tdoa0.75ms.csv,leak,small,5,0.75,8000,2.0
51,case_0051_leak_small_snr5db_tdoa1.25ms.csv,leak,small,5,1.25,8000,2.0
52,case_0052_leak_small_snr5db_tdoa1.25ms.csv,leak,small,5,1.25,8000,2.0
53,case_0053_leak_small_snr5db_tdoa1.25ms.csv,leak,small,5,1.25,8000,2.0
54,case_0054_leak_small_snr5db_tdoa1.25ms.csv,leak,small,5,1.25,8000,2.0
55,case_0055_leak_small_snr5db_tdoa1.25ms.csv,leak,small,5,1.25,8000,2.0
56,case_0056_leak_small_snr5db_tdoa2.00ms.csv,leak,small,5,2.0,8000,2.0
57,case_0057_leak_small_snr5db_tdoa2.00ms.csv,leak,small,5,2.0,8000,2.0
58,case_0058_leak_small_snr5db_tdoa2.00ms.csv,leak,small,5,2.0,8000,2.0
59,case_0059_leak_small_snr5db_tdoa2.00ms.csv,leak,small,5,2.0,8000,2.0
60,case_0060_leak_small_snr5db_tdoa2.00ms.csv,leak,small,5,2.0,8000,2.0
61,case_0061_leak_small_snr10db_tdoa0.75ms.csv,leak,small,10,0.75,8000,2.0
62,case_0062_leak_small_snr10db_tdoa0.75ms.csv,leak,small,10,0.75,8000,2.0
63,case_0063_leak_small_snr10db_tdoa0.75ms.csv,leak,small,10,0.75,8000,2.0
64,case_0064_leak_small_snr10db_tdoa0.75ms.csv,leak,small,10,0.75,8000,2.0
65,case_0065_leak_small_snr10db_tdoa0.75ms.csv,leak,small,10,0.75,8000,2.0
66,case_0066_leak_small_snr10db_tdoa1.25ms.csv,leak,small,10,1.25,8000,2.0
67,case_0067_leak_small_snr10db_tdoa1.25ms.csv,leak,small,10,1.25,8000,2.0
68,case_0068_leak_small_snr10db_tdoa1.25ms.csv,leak,small,10,1.25,8000,2.0
69,case_0069_leak_small_snr10db_tdoa1.25ms.csv,leak,small,10,1.25,8000,2.0
70,case_0070_leak_small_snr10db_tdoa1.25ms.csv,leak,small,10,1.25,8000,2.0
71,case_0071_leak_small_snr10db_tdoa2.00ms.csv,leak,small,10,2.0,8000,2.0
72,case_0072_leak_small_snr10db_tdoa2.00ms.csv,leak,small,10,2.0,8000,2.0
73,case_0073_leak_small_snr10db_tdoa2.00ms.csv,leak,small,10,2.0,8000,2.0
74,case_0074_leak_small_snr10db_tdoa2.00ms.csv,leak,small,10,2.0,8000,2.0
75,case_0075_leak_small_snr10db_tdoa2.00ms.csv,leak,small,10,2.0,8000,2.0
76,case_0076_leak_small_snr20db_tdoa0.75ms.csv,leak,small,20,0.75,8000,2.0
77,case_0077_leak_small_snr20db_tdoa0.75ms.csv,leak,small,20,0.75,8000,2.0
78,case_0078_leak_small_snr20db_tdoa0.75ms.csv,leak,small,20,0.75,8000,2.0
79,case_0079_leak_small_snr20db_tdoa0.75ms.csv,leak,small,20,0.75,8000,2.0
80,case_0080_leak_small_snr20db_tdoa0.75ms.csv,leak,small,20,0.75,8000,2.0
81,case_0081_leak_small_snr20db_tdoa1.25ms.csv,leak,small,20,1.25,8000,2.0
82,case_0082_leak_small_snr20db_tdoa1.25ms.csv,leak,small,20,1.25,8000,2.0
83,case_0083_leak_small_snr20db_tdoa1.25ms.csv,leak,small,20,1.25,8000,2.0
84,case_0084_leak_small_snr20db_tdoa1.25ms.csv,leak,small,20,1.25,8000,2.0
85,case_0085_leak_small_snr20db_tdoa1.25ms.csv,leak,small,20,1.25,8000,2.0
86,case_0086_leak_small_snr20db_tdoa2.00ms.csv,leak,small,20,2.0,8000,2.0
87,case_0087_leak_small_snr20db_tdoa2.00ms.csv,leak,small,20,2.0,8000,2.0
88,case_0088_leak_small_snr20db_tdoa2.00ms.csv,leak,small,20,2.0,8000,2.0
89,case_0089_leak_small_snr20db_tdoa2.00ms.csv,leak,small,20,2.0,8000,2.0
90,case_0090_leak_small_snr20db_tdoa2.00ms.csv,leak,small,20,2.0,8000,2.0
91,case_0091_leak_medium_snr5db_tdoa0.75ms.csv,leak,medium,5,0.75,8000,2.0
92,case_0092_leak_medium_snr5db_tdoa0.75ms.csv,leak,medium,5,0.75,8000,2.0
93,case_0093_leak_medium_snr5db_tdoa0.75ms.csv,leak,medium,5,0.75,8000,2.0
94,case_0094_leak_medium_snr5db_tdoa0.75ms.csv,leak,medium,5,0.75,8000,2.0
95,case_0095_leak_medium_snr5db_tdoa0.75ms.csv,leak,medium,5,0.75,8000,2.0
96,case_0096_leak_medium_snr5db_tdoa1.25ms.csv,leak,medium,5,1.25,8000,2.0
97,case_0097_leak_medium_snr5db_tdoa1.25ms.csv,leak,medium,5,1.25,8000,2.0
98,case_0098_leak_medium_snr5db_tdoa1.25ms.csv,leak,medium,5,1.25,8000,2.0
99,case_0099_leak_medium_snr5db_tdoa1.25ms.csv,leak,medium,5,1.25,8000,2.0
100,case_0100_leak_medium_snr5db_tdoa1.25ms.csv,leak,medium,5,1.25,8000,2.0
101,case_0101_leak_medium_snr5db_tdoa2.00ms.csv,leak,medium,5,2.0,8000,2.0
102,case_0102_leak_medium_snr5db_tdoa2.00ms.csv,leak,medium,5,2.0,8000,2.0
103,case_0103_leak_medium_snr5db_tdoa2.00ms.csv,leak,medium,5,2.0,8000,2.0
104,case_0104_leak_medium_snr5db_tdoa2.00ms.csv,leak,medium,5,2.0,8000,2.0
105,case_0105_leak_medium_snr5db_tdoa2.00ms.csv,leak,medium,5,2.0,8000,2.0
106,case_0106_leak_medium_snr10db_tdoa0.75ms.csv,leak,medium,10,0.75,8000,2.0
107,case_0107_leak_medium_snr10db_tdoa0.75ms.csv,leak,medium,10,0.75,8000,2.0
108,case_0108_leak_medium_snr10db_tdoa0.75ms.csv,leak,medium,10,0.75,8000,2.0
109,case_0109_leak_medium_snr10db_tdoa0.75ms.csv,leak,medium,10,0.75,8000,2.0
110,case_0110_leak_medium_snr10db_tdoa0.75ms.csv,leak,medium,10,0.75,8000,2.0
111,case_0111_leak_medium_snr10db_tdoa1.25ms.csv,leak,medium,10,1.25,8000,2.0
112,case_0112_leak_medium_snr10db_tdoa1.25ms.csv,leak,medium,10,1.25,8000,2.0
113,case_0113_leak_medium_snr10db_tdoa1.25ms.csv,leak,medium,10,1.25,8000,2.0
114,case_0114_leak_medium_snr10db_tdoa1.25ms.csv,leak,medium,10,1.25,8000,2.0
115,case_0115_leak_medium_snr10db_tdoa1.25ms.csv,leak,medium,10,1.25,8000,2.0
116,case_0116_leak_medium_snr10db_tdoa2.00ms.csv,leak,medium,10,2.0,8000,2.0
117,case_0117_leak_medium_snr10db_tdoa2.00ms.csv,leak,medium,10,2.0,8000,2.0
118,case_0118_leak_medium_snr10db_tdoa2.00ms.csv,leak,medium,10,2.0,8000,2.0
119,case_0119_leak_medium_snr10db_tdoa2.00ms.csv,leak,medium,10,2.0,8000,2.0
120,case_0120_leak_medium_snr10db_tdoa2.00ms.csv,leak,medium,10,2.0,8000,2.0
121,case_0121_leak_medium_snr20db_tdoa0.75ms.csv,leak,medium,20,0.75,8000,2.0
122,case_0122_leak_medium_snr20db_tdoa0.75ms.csv,leak,medium,20,0.75,8000,2.0
123,case_0123_leak_medium_snr20db_tdoa0.75ms.csv,leak,medium,20,0.75,8000,2.0
124,case_0124_leak_medium_snr20db_tdoa0.75ms.csv,leak,medium,20,0.75,8000,2.0
125,case_0125_leak_medium_snr20db_tdoa0.75ms.csv,leak,medium,20,0.75,8000,2.0
126,case_0126_leak_medium_snr20db_tdoa1.25ms.csv,leak,medium,20,1.25,8000,2.0
127,case_0127_leak_medium_snr20db_tdoa1.25ms.csv,leak,medium,20,1.25,8000,2.0
128,case_0128_leak_medium_snr20db_tdoa1.25ms.csv,leak,medium,20,1.25,8000,2.0
129,case_0129_leak_medium_snr20db_tdoa1.25ms.csv,leak,medium,20,1.25,8000,2.0
130,case_0130_leak_medium_snr20db_tdoa1.25ms.csv,leak,medium,20,1.25,8000,2.0
131,case_0131_leak_medium_snr20db_tdoa2.00ms.csv,leak,medium,20,2.0,8000,2.0
132,case_0132_leak_medium_snr20db_tdoa2.00ms.csv,leak,medium,20,2.0,8000,2.0
133,case_0133_leak_medium_snr20db_tdoa2.00ms.csv,leak,medium,20,2.0,8000,2.0
134,case_0134_leak_medium_snr20db_tdoa2.00ms.csv,leak,medium,20,2.0,8000,2.0
135,case_0135_leak_medium_snr20db_tdoa2.00ms.csv,leak,medium,20,2.0,8000,2.0
136,case_0136_leak_large_snr5db_tdoa0.75ms.csv,leak,large,5,0.75,8000,2.0
137,case_0137_leak_large_snr5db_tdoa0.75ms.csv,leak,large,5,0.75,8000,2.0
138,case_0138_leak_large_snr5db_tdoa0.75ms.csv,leak,large,5,0.75,8000,2.0
139,case_0139_leak_large_snr5db_tdoa0.75ms.csv,leak,large,5,0.75,8000,2.0
140,case_0140_leak_large_snr5db_tdoa0.75ms.csv,leak,large,5,0.75,8000,2.0
141,case_0141_leak_large_snr5db_tdoa1.25ms.csv,leak,large,5,1.25,8000,2.0
142,case_0142_leak_large_snr5db_tdoa1.25ms.csv,leak,large,5,1.25,8000,2.0
143,case_0143_leak_large_snr5db_tdoa1.25ms.csv,leak,large,5,1.25,8000,2.0
144,case_0144_leak_large_snr5db_tdoa1.25ms.csv,leak,large,5,1.25,8000,2.0
145,case_0145_leak_large_snr5db_tdoa1.25ms.csv,leak,large,5,1.25,8000,2.0
146,case_0146_leak_large_snr5db_tdoa2.00ms.csv,leak,large,5,2.0,8000,2.0
147,case_0147_leak_large_snr5db_tdoa2.00ms.csv,leak,large,5,2.0,8000,2.0
148,case_0148_leak_large_snr5db_tdoa2.00ms.csv,leak,large,5,2.0,8000,2.0
149,case_0149_leak_large_snr5db_tdoa2.00ms.csv,leak,large,5,2.0,8000,2.0
150,case_0150_leak_large_snr5db_tdoa2.00ms.csv,leak,large,5,2.0,8000,2.0
151,case_0151_leak_large_snr10db_tdoa0.75ms.csv,leak,large,10,0.75,8000,2.0
152,case_0152_leak_large_snr10db_tdoa0.75ms.csv,leak,large,10,0.75,8000,2.0
153,case_0153_leak_large_snr10db_tdoa0.75ms.csv,leak,large,10,0.75,8000,2.0
154,case_0154_leak_large_snr10db_tdoa0.75ms.csv,leak,large,10,0.75,8000,2.0
155,case_0155_leak_large_snr10db_tdoa0.75ms.csv,leak,large,10,0.75,8000,2.0
156,case_0156_leak_large_snr10db_tdoa1.25ms.csv,leak,large,10,1.25,8000,2.0
157,case_0157_leak_large_snr10db_tdoa1.25ms.csv,leak,large,10,1.25,8000,2.0
158,case_0158_leak_large_snr10db_tdoa1.25ms.csv,leak,large,10,1.25,8000,2.0
159,case_0159_leak_large_snr10db_tdoa1.25ms.csv,leak,large,10,1.25,8000,2.0
160,case_0160_leak_large_snr10db_tdoa1.25ms.csv,leak,large,10,1.25,8000,2.0
161,case_0161_leak_large_snr10db_tdoa2.00ms.csv,leak,large,10,2.0,8000,2.0
162,case_0162_leak_large_snr10db_tdoa2.00ms.csv,leak,large,10,2.0,8000,2.0
163,case_0163_leak_large_snr10db_tdoa2.00ms.csv,leak,large,10,2.0,8000,2.0
164,case_0164_leak_large_snr10db_tdoa2.00ms.csv,leak,large,10,2.0,8000,2.0
165,case_0165_leak_large_snr10db_tdoa2.00ms.csv,leak,large,10,2.0,8000,2.0
166,case_0166_leak_large_snr20db_tdoa0.75ms.csv,leak,large,20,0.75,8000,2.0
167,case_0167_leak_large_snr20db_tdoa0.75ms.csv,leak,large,20,0.75,8000,2.0
168,case_0168_leak_large_snr20db_tdoa0.75ms.csv,leak,large,20,0.75,8000,2.0
169,case_0169_leak_large_snr20db_tdoa0.75ms.csv,leak,large,20,0.75,8000,2.0
170,case_0170_leak_large_snr20db_tdoa0.75ms.csv,leak,large,20,0.75,8000,2.0
171,case_0171_leak_large_snr20db_tdoa1.25ms.csv,leak,large,20,1.25,8000,2.0
172,case_0172_leak_large_snr20db_tdoa1.25ms.csv,leak,large,20,1.25,8000,2.0
173,case_0173_leak_large_snr20db_tdoa1.25ms.csv,leak,large,20,1.25,8000,2.0
174,case_0174_leak_large_snr20db_tdoa1.25ms.csv,leak,large,20,1.25,8000,2.0
175,case_0175_leak_large_snr20db_tdoa1.25ms.csv,leak,large,20,1.25,8000,2.0
176,case_0176_leak_large_snr20db_tdoa2.00ms.csv,leak,large,20,2.0,8000,2.0
177,case_0177_leak_large_snr20db_tdoa2.00ms.csv,leak,large,20,2.0,8000,2.0
178,case_0178_leak_large_snr20db_tdoa2.00ms.csv,leak,large,20,2.0,8000,2.0
179,case_0179_leak_large_snr20db_tdoa2.00ms.csv,leak,large,20,2.0,8000,2.0
180,case_0180_leak_large_snr20db_tdoa2.00ms.csv,leak,large,20,2.0,8000,2.0
